layer_start,layer_end,page_start,page_end,semantic_class,pin,k_precision_name,v_precision_name,residency_tier,promotion_priority,demotion_priority,recompute_priority,authority,case,budget_pct,kv_layout,range_ordinal,used_pages,prompt_pages,recent_start_page,plan_validation_ok,shadowed_layer_page_matches
32,47,1,86,late_layer_payload,0,int8,int8,warm,35,65,50,hard,multi_hop_bridge,12.5,tmh_fidelity_paged_kv,3,100,80,87,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,payload_dense,12.5,tmh_fidelity_paged_kv,0,178,154,155,True,0
0,47,155,177,recent_tail,0,raw,raw,hot,100,0,0,hard,payload_dense,12.5,tmh_fidelity_paged_kv,1,178,154,155,True,0
0,31,1,154,prefill_payload,0,int8,int4,warm,25,75,50,hard,payload_dense,12.5,tmh_fidelity_paged_kv,2,178,154,155,True,0
32,47,1,154,late_layer_payload,0,int8,int8,warm,35,65,50,hard,payload_dense,12.5,tmh_fidelity_paged_kv,3,178,154,155,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,long_generation_systems,12.5,tmh_fidelity_paged_kv,0,93,45,81,True,0
0,47,81,92,recent_tail,0,raw,raw,hot,100,0,0,hard,long_generation_systems,12.5,tmh_fidelity_paged_kv,1,93,45,81,True,0
0,31,1,80,prefill_payload,0,int8,int4,warm,25,75,50,hard,long_generation_systems,12.5,tmh_fidelity_paged_kv,2,93,45,81,True,0
32,47,1,80,late_layer_payload,0,int8,int8,warm,35,65,50,hard,long_generation_systems,12.5,tmh_fidelity_paged_kv,3,93,45,81,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,early_anchor_long_tail,6.25,tmh_fidelity_paged_kv,0,166,154,155,True,0
0,47,155,165,recent_tail,0,raw,raw,hot,100,0,0,hard,early_anchor_long_tail,6.25,tmh_fidelity_paged_kv,1,166,154,155,True,0
0,31,1,154,prefill_payload,0,int8,int4,warm,25,75,50,hard,early_anchor_long_tail,6.25,tmh_fidelity_paged_kv,2,166,154,155,True,0
32,47,1,154,late_layer_payload,0,int8,int8,warm,35,65,50,hard,early_anchor_long_tail,6.25,tmh_fidelity_paged_kv,3,166,154,155,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,middle_anchor_detour,6.25,tmh_fidelity_paged_kv,0,136,120,127,True,0
0,47,127,135,recent_tail,0,raw,raw,hot,100,0,0,hard,middle_anchor_detour,6.25,tmh_fidelity_paged_kv,1,136,120,127,True,0
0,31,1,126,prefill_payload,0,int8,int4,warm,25,75,50,hard,middle_anchor_detour,6.25,tmh_fidelity_paged_kv,2,136,120,127,True,0
32,47,1,126,late_layer_payload,0,int8,int8,warm,35,65,50,hard,middle_anchor_detour,6.25,tmh_fidelity_paged_kv,3,136,120,127,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,late_anchor_control,6.25,tmh_fidelity_paged_kv,0,90,78,84,True,0
0,47,84,89,recent_tail,0,raw,raw,hot,100,0,0,hard,late_anchor_control,6.25,tmh_fidelity_paged_kv,1,90,78,84,True,0
0,31,1,83,prefill_payload,0,int8,int4,warm,25,75,50,hard,late_anchor_control,6.25,tmh_fidelity_paged_kv,2,90,78,84,True,0
32,47,1,83,late_layer_payload,0,int8,int8,warm,35,65,50,hard,late_anchor_control,6.25,tmh_fidelity_paged_kv,3,90,78,84,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,decoy_collision,6.25,tmh_fidelity_paged_kv,0,101,85,94,True,0
0,47,94,100,recent_tail,0,raw,raw,hot,100,0,0,hard,decoy_collision,6.25,tmh_fidelity_paged_kv,1,101,85,94,True,0
0,31,1,93,prefill_payload,0,int8,int4,warm,25,75,50,hard,decoy_collision,6.25,tmh_fidelity_paged_kv,2,101,85,94,True,0
